source_id,latitude,longitude,nearest_refinery_km,nearest_powerplant_km,nearest_mine_km,nearest_industrial_area_km,landcover_code,landcover_class,mean_distance_to_industry_km,min_distance_to_industry_km,mean_industrial_facilities_1km,mean_industrial_facilities_5km,industrial_land_ratio,forest_land_ratio,agricultural_land_ratio,nearest_facility_type,first_detection,last_detection,total_detections,active_days,mean_frp,max_frp,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,observation_days,event_type,predicted_event_type,confidence_pct
SOURCE_0001,20.79575,85.25475,160.41048010693,0.92945546221523,19.434048094279,0.0,50,Built-up,45.19349592,0.0,2,2,1,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,7,2,6.0857142857143,11.08,1,0.28571428571429,7.0,4.0,8.9442719099992,0.0,0.0,24.0,0.10056040392404,2,2,2,7,Industrial,Industrial,39.33
SOURCE_0002,22.36498,87.30222,96.656249882125,5.7860588862863,61.14720775276,0.50796844201856,60,Bare / sparse vegetation,41.02437124,0.507968442,1,1,0,0,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,5,1,3.648,8.62,0,0.14285714285714,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Other,Other,36.0
SOURCE_0003,10.95563,78.40146,157.14876229917,6.4401403944468,23.495606083479,6.4401403944468,30,Grassland,48.38116229,6.440140394,0,0,0,0,0,powerplant,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,4.21,4.21,0,0.14285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Forest/Natural,Forest/Natural,80.67
SOURCE_0004,8.74034,77.6055,192.46414814329,1.1234449355367,7.4813234459528,1.1234449355367,30,Grassland,50.54809037,1.123444936,0,2,0,0,0,powerplant,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,21,5,19.43380952381,239.09,4,0.71428571428571,5.25,4.8,9.6,0.0,0.0,24.0,0.094339622641509,5,5,5,7,Forest/Natural,Forest/Natural,75.33
SOURCE_0005,10.74717,78.63906,130.33395881342,2.4437813868749,13.404894930565,2.4437813868749,30,Grassland,37.15660413,2.443781387,0,2,0,0,0,powerplant,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,5.39,5.39,0,0.14285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Forest/Natural,Forest/Natural,80.0
SOURCE_0006,10.93393,78.49468,146.59758562222,12.11937968744,23.718429589516,11.665018527839,10,Tree cover,48.52510336,11.66501853,0,0,0,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.95,1.95,0,0.14285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Forest/Natural,Forest/Natural,82.0
SOURCE_0007,8.64316,77.89857,223.62935130071,4.9657458867646,2.1147661055767,4.9657458867646,40,Cropland,58.91890229,2.114766106,0,3,0,0,1,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,4,1,5.3875,6.62,0,0.14285714285714,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7,Agricultural,Agricultural,82.0
SOURCE_0008,9.52572,78.76215,187.39521643665,16.929951043147,32.961707452355,13.129329834484,40,Cropland,62.60405119,13.12932983,0,0,0,0,1,industrial_area,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,5.93,5.93,0,0.14285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Agricultural,Agricultural,87.33
SOURCE_0009,21.10254,72.63605,160.06355456385,1.9604336054882,55.696083781209,0.0,10,Tree cover,54.43001799,0.0,1,2,1,1,0,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,2,6.2766666666667,7.3,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,7,Industrial,Forest/Natural,60.67
SOURCE_0010,27.31678,95.26754,39.813284204388,15.638516615543,6.8119729956518,3.2754329213884,40,Cropland,16.38480168,3.275432921,0,1,0,0,1,industrial_area,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,2,1.94,2.63,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,7,Agricultural,Agricultural,86.67
SOURCE_0011,23.75207,86.41506,208.2483704307,9.1154687096371,0.214954282545,2.766388708625,10,Tree cover,55.08629553,0.214954283,1,2,1,1,0,mine,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,4,2,1.1475,1.64,1,0.28571428571429,4.0,8.0,11.313708498985,0.0,0.0,24.0,0.081210303141612,2,2,2,7,Industrial,Industrial,49.33
SOURCE_0012,23.73835,86.43285,210.25969258467,9.3828810892483,0.0,5.1814938710467,30,Grassland,56.20601689,0.0,1,1,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,22,5,2.3777272727273,6.75,4,0.71428571428571,5.5,4.5714285714286,9.4242414299832,0.0,0.0,24.0,0.09593024170792,5,5,5,7,Industrial,Forest/Natural,57.33
SOURCE_0013,23.71062,86.43102,213.53141674386,12.565566070998,0.29633360666179,3.4098164810858,10,Tree cover,57.45078323,0.296333607,1,2,1,1,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.47,1.47,0,0.14285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Forest/Natural,74.67
SOURCE_0014,23.6914,86.40305,215.269279329,12.105311353512,0.0,1.1340998404217,60,Bare / sparse vegetation,57.12717263,0.0,1,2,1,0,0,mine,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,0.98,0.98,0,0.14285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7,Industrial,Industrial,42.67
